00100	true	Дирекции	Дирекции	Directorate	Directorate
00101	true	Дирекция Контрол на храните	Дирекция Контрол на храните	Food Control Directorate	Food Control Directorate	00100
00102	true	Дирекция Продукти за растителна защита, торове и контрол	Дирекция Продукти за растителна защита, торове и контрол	Plant Protection Products, Fertilizers and Control Directorate	Plant Protection Products, Fertilizers and Control Directorate	00100
00103	true	Дирекция Растителна защита и контрол на качеството на пресни плодове и зеленчуци	Дирекция Растителна защита и контрол на качеството на пресни плодове и зеленчуци	Directorate of Plant Protection and Quality Control of Fresh Fruits and Vegetables	Directorate of Plant Protection and Quality Control of Fresh Fruits and Vegetables	00100
00200	true	Тип на адрес	Тип на адрес	Address type	Address type			
00201	true	Главно управление	Главно управление	Head office	Head office	00200		
00202	true	Постоянен адрес	Постоянен адрес	Permanent address	Permanent address	00200
00203	true	Адрес за кореспонденция	Адрес за кореспонденция	Correspondence address	Correspondence address	00200
00204	true	Адрес за комуникация при търговия от разстояние	Адрес за комуникация при търговия от разстояние	Address of communication in distance trading	Address of communication in distance trading	00200
00205	true	Адрес на чуждестранен обект	Адрес на чуждестранен обект	Foreign facility address	Foreign facility address	00200
00206	true	Адрес на доставчик	Описание: Адрес на доставчик	Supplier address	Description: Supplier address	00200
00207	true	Землище	Описание: Землище	Land	Description: Land	00200
00208	true	Парцел	Описание: Парцел	Plot	Description: Plot	00200
00209	true	Адрес за третиране	Адрес за третиране	Treatment Address	Treatment Address	00200
00300	true	Тип на файла	Тип на файла	File type	File type
00400	true	Тип и назначение	Тип и назначение	Type and meaning	Type and meaning			
00500	true	Тип връзка с контрагент	Тип връзка с контрагент	Contractor relation type	Contractor relation type			
00501	true	Ръководител	Ръководител	Supervisor	Supervisor	00500		
00502	true	Собственик	Собственик	Owner	Owner	00500		
00503	true	Управител	Управител	Manager	Manager	00500		
00504	true	Представител	Представител	Representative	Representative	00500		
00505	true	Пълномощник	Пълномощник	Authorized person	Authorized person	00500
00506	true	Наемател	Наемател	Tenant	Tenant	00500
00600	true	Вид тор	Вид тор	Fertilizer type	Fertilizer type			
00601	true	Микробиални торове	Микробиални торове	Microbial fertilizers	Microbial fertilizers	00600		
00602	true	Неорганични еднокомпонентни торове с основни хранителни елементи	Неорганични еднокомпонентни торове с основни хранителни елементи	Inorganic single-component fertilizers with basic nutrients	Inorganic single-component fertilizers with basic nutrients	00600		
00603	true	Неорганични торове с второстепенни хранителни елементи	Неорганични торове с второстепенни хранителни елементи	Inorganic fertilizers with minor nutrients	Inorganic fertilizers with minor nutrients	00600		
00604	true	Неорганични торове с микроелементи**	Неорганични торове с микроелементи**	Inorganic fertilizers with trace elements**	Inorganic fertilizers with trace elements**	00600		
00605	true	Неорганични торове с основни, второстепенни хранителни елементи и микроелементи	Неорганични торове с основни, второстепенни хранителни елементи и микроелементи	Inorganic fertilizers with basic, secondary nutrients and trace elements	Inorganic fertilizers with basic, secondary nutrients and trace elements	00600		
00606	true	Неорганични торове с основни и второстепенни хранителни елементи	Неорганични торове с основни и второстепенни хранителни елементи	Inorganic fertilizers with primary and secondary nutrients	Inorganic fertilizers with primary and secondary nutrients	00600		
00607	true	Органични и органо-минерални торове	Органични и органо-минерални торове	Organic and organic-mineral fertilizers	Organic and organic-mineral fertilizers	00600		
00608	true	Подобрители на почвата	Подобрители на почвата	Soil improvers	Soil improvers	00600		
00609	true	Течни торове-разтвори и суспензии**	Течни торове-разтвори и суспензии**	Liquid fertilizers-solutions and suspensions**	Liquid fertilizers-solutions and suspensions**	00600		
00700	true	Пиктограма за опасност	Пиктограма за опасност	Hazard pictogram	Hazard pictogram			
